0,0,32,224
0,224,15,48
0,416,32,192
0,608,15,48
0,656,32,272
32,416,256,32
32,912,896,90
928,0,32,224
937,219,23,78
928,272,32,336
936,608,24,72
928,656,32,330
32,32,896,32
898,32,30,153
512,400,32,208
704,400,32,208
288,240,32,368
0,272,288,16
295,608,18,16
32,434,33,32
88,437,18,36
103,445,18,18
234,449,18,18
245,461,18,18
261,522,18,18
41,863,18,18
53,852,18,18
39,76,18,18
58,82,18,18
54,63,18,18
255,59,18,18
69,651,18,18
261,448,27,19
201,436,18,18
211,444,18,18
176,53,18,18
185,60,18,18
225,76,26,18
198,72,26,18
233,68,26,18
36,663,61,26
43,654,26,9
57,689,33,8
